문장,흥미유형,직업목록
나는 손으로 직접 만드는 걸 좋아해요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
실용적인 일을 선호하고 활동적인 걸 즐깁니다.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
도구나 기계를 다루는 걸 좋아해요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
몸을 움직이는 일이 즐거워요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
야외 활동이나 체험 위주의 일을 좋아합니다.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
반복적이거나 안정적인 일이 좋아요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
건축이나 기술 관련 일을 해보고 싶어요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
기술이나 장비를 다루는 일이 좋아요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
손재주가 좋다는 말을 자주 들어요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
현실적인 문제를 해결하는 걸 잘해요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
궁금한 건 끝까지 파고드는 편이에요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
과학이나 수학 문제를 푸는 걸 좋아해요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
논리적으로 생각하는 걸 즐깁니다.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
실험하고 분석하는 과정이 흥미로워요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
