키워드,대처법
월급이 밀렸어요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
월급을 안 줘요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
급여가 안 들어왔어요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
월급을 받지 못했어요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
급여가 밀렸어요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
월급이 안 나왔어요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
월급 못 받았어요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
월급이 체불됐어요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
급여를 못 받았어요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
월급이 너무 적어요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
시급도 안 줘요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
월급이 이상해요,임금체불에 해당합니다. 고용노동부에 진정서를 제출하세요.
시급이 낮아요,최저임금 위반일 수 있습니다. 시급이 10030원 이상인지 확인해보세요.
시급이 너무 적어요,최저임금 위반일 수 있습니다. 시급이 10030원 이상인지 확인해보세요.
시급이 최저임금보다 낮아요,최저임금 위반일 수 있습니다. 시급이 10030원 이상인지 확인해보세요.
최저시급보다 적게 줘요,최저임금 위반일 수 있습니다. 시급이 10030원 이상인지 확인해보세요.
최저임금 안 지켜요,최저임금 위반일 수 있습니다. 시급이 10030원 이상인지 확인해보세요.
최저임금도 못 받아요,최저임금 위반일 수 있습니다. 시급이 10030원 이상인지 확인해보세요.
법정 시급 안 줘요,최저임금 위반일 수 있습니다. 시급이 10030원 이상인지 확인해보세요.
최저임금 이하에요,최저임금 위반일 수 있습니다. 시급이 10030원 이상인지 확인해보세요.
주휴수당 못 받았어요,주휴수당은 조건이 맞으면 의무적으로 지급해야 합니다. 근로시간과 근무일수를 확인해보세요.
주휴수당이 없어요,주휴수당은 조건이 맞으면 의무적으로 지급해야 합니다. 근로시간과 근무일수를 확인해보세요.
주휴수당을 안 줘요,주휴수당은 조건이 맞으면 의무적으로 지급해야 합니다. 근로시간과 근무일수를 확인해보세요.
주휴수당을 못 받았어요,주휴수당은 조건이 맞으면 의무적으로 지급해야 합니다. 근로시간과 근무일수를 확인해보세요.
주휴수당 계산이 안 됐어요,주휴수당은 조건이 맞으면 의무적으로 지급해야 합니다. 근로시간과 근무일수를 확인해보세요.
주휴수당을 빼고 줬어요,주휴수당은 조건이 맞으면 의무적으로 지급해야 합니다. 근로시간과 근무일수를 확인해보세요.
주휴수당 지급 안 해요,주휴수당은 조건이 맞으면 의무적으로 지급해야 합니다. 근로시간과 근무일수를 확인해보세요.
계약서를 작성하지 않았어요,근로계약서를 요구하고 작성하지 않았다면 불법입니다. 반드시 서면으로 받아야 합니다.
근로계약서가 없어요,근로계약서를 요구하고 작성하지 않았다면 불법입니다. 반드시 서면으로 받아야 합니다.
계약서를 안 써요,근로계약서를 요구하고 작성하지 않았다면 불법입니다. 반드시 서면으로 받아야 합니다.
계약서를 안 줘요,근로계약서를 요구하고 작성하지 않았다면 불법입니다. 반드시 서면으로 받아야 합니다.
계약서를 안 보여줘요,근로계약서를 요구하고 작성하지 않았다면 불법입니다. 반드시 서면으로 받아야 합니다.
근로계약서 작성 안 했어요,근로계약서를 요구하고 작성하지 않았다면 불법입니다. 반드시 서면으로 받아야 합니다.
쉬는 시간이 없어요,"4시간 근무 시 30분, 8시간 근무 시 1시간 이상 휴식시간이 법으로 보장됩니다."
휴게시간이 없어요,"4시간 근무 시 30분, 8시간 근무 시 1시간 이상 휴식시간이 법으로 보장됩니다."
잠깐도 못 쉬어요,"4시간 근무 시 30분, 8시간 근무 시 1시간 이상 휴식시간이 법으로 보장됩니다."
계속 일만 했어요,"4시간 근무 시 30분, 8시간 근무 시 1시간 이상 휴식시간이 법으로 보장됩니다."
4시간 일했는데 쉬는 시간이 없었어요,"4시간 근무 시 30분, 8시간 근무 시 1시간 이상 휴식시간이 법으로 보장됩니다."
8시간 근무했는데 쉬지를 못했어요,"4시간 근무 시 30분, 8시간 근무 시 1시간 이상 휴식시간이 법으로 보장됩니다."
퇴직금을 안 줘요,1년 이상 근무 시 퇴직금 지급이 의무입니다. 고용노동부에 문의해보세요.
퇴직금을 못 받았어요,1년 이상 근무 시 퇴직금 지급이 의무입니다. 고용노동부에 문의해보세요.
퇴직금을 안 줬어요,1년 이상 근무 시 퇴직금 지급이 의무입니다. 고용노동부에 문의해보세요.
퇴직금을 달라고 했는데 안 줘요,1년 이상 근무 시 퇴직금 지급이 의무입니다. 고용노동부에 문의해보세요.
퇴직금 지급 안 해요,1년 이상 근무 시 퇴직금 지급이 의무입니다. 고용노동부에 문의해보세요.
퇴직금을 안 받았어요,1년 이상 근무 시 퇴직금 지급이 의무입니다. 고용노동부에 문의해보세요.
